Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
29/12/2014,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),00:00:00,00:00:00,02:36:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,1,0,,2956,2785,668,231
15/03/2015,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,02:36:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,1,0,,2785,2956,668,231
30/03/2015,FR2225,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),00:00:00,00:00:00,02:36:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,1,2,,2956,2785,668,231
07/06/2015,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,02:36:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,1,0,,2785,2956,668,231
18/11/2015,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,13:05:00,03:05:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EIDYX,20A,1,1,1,,2956,2785,668,231
23/11/2015,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),06:45:00,11:35:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EIEBB,33D,3,1,1,,2785,2956,668,231
23/10/2015,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,13:05:00,03:05:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,2,1,1,,2956,2785,668,231
28/10/2015,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),06:45:00,11:35:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EIEFE,,0,1,1,,2785,2956,668,231
29/08/2015,LH885,Tallinn / Ulemiste (TLL/EETN),Frankfurt / Frankfurt (FRA/EDDF),05:30:00,07:05:00,02:35:00,Lufthansa (LH/DLH),Airbus A320 (A320),,,0,1,2,,2956,919,239,27
22/08/2015,LH884,Frankfurt / Frankfurt (FRA/EDDF),Tallinn / Ulemiste (TLL/EETN),20:50:00,00:10:00,02:20:00,Lufthansa (LH/DLH),Airbus A320 (A320),,,0,1,2,,919,2956,239,27
13/01/2016,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,13:05:00,03:05:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EIEBY,21C,3,1,1,,2956,2785,668,231
01/02/2016,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),06:45:00,11:35:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EIESL,,3,1,1,,2785,2956,668,231
16/02/2016,AY116,Tallinn / Ulemiste (TLL/EETN),Helsinki / Vantaa (HEL/EFHK),21:30:00,22:05:00,00:35:00,Finnair (AY/FIN),ATR 72-500 (AT75),OHATP,,1,1,2,,2956,1110,304,154
16/02/2016,AY81,Helsinki / Vantaa (HEL/EFHK),Singapore / Changi (SIN/WSSS),23:55:00,17:30:00,11:35:00,Finnair (AY/FIN),Airbus A340-300 (A343),OHLQA,,1,1,2,,1110,2672,304,34
17/02/2016,QF36,Singapore / Changi (SIN/WSSS),Melbourne / Tullamarine (MEL/YMML),19:50:00,06:30:00,07:40:00,Qantas Airways (QF/QFA),Airbus A330-300 (A333),VHQPF,,2,1,2,,2672,1795,631,31
25/03/2016,JQ524,Melbourne / Tullamarine (MEL/YMML),Sydney / Kingsford Smith (SYD/YSSY),19:45:00,21:10:00,01:25:00,Jetstar Airways (JQ/JST),Airbus A321 (A321),VHVWT,,1,1,1,,1795,2834,419,28
29/03/2016,JQ719,Sydney / Kingsford Smith (SYD/YSSY),Hobart / Hobart (HBA/YMHB),05:00:00,06:55:00,01:55:00,Jetstar Airways (JQ/JST),Airbus A320 (A320),VHVFL,,1,1,1,,2834,1099,419,27
03/04/2016,JQ714,Hobart / Hobart (HBA/YMHB),Melbourne / Tullamarine (MEL/YMML),21:30:00,22:45:00,01:15:00,Jetstar Airways (JQ/JST),Airbus A321 (A321),VHVWW,,1,1,1,,1099,1795,419,28
15/06/2016,QF796,Melbourne / Tullamarine (MEL/YMML),Alice Springs / Alice Springs (ASP/YBAS),09:30:00,11:55:00,02:55:00,Qantas Airways (QF/QFA),Boeing 737-800 (B738),VHVXJ,9A,1,1,1,,1795,169,631,231
20/06/2016,QF797,Alice Springs / Alice Springs (ASP/YBAS),Melbourne / Tullamarine (MEL/YMML),12:35:00,15:40:00,02:35:00,Qantas Airways (QF/QFA),Boeing 737-800 (B738),VHVXO,,2,1,1,,169,1795,631,231
07/07/2016,TK1422,Tallinn / Ulemiste (TLL/EETN),Istanbul / Ataturk (ISL/LTBA),18:30:00,21:50:00,03:20:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TCJVC,,1,1,2,,2956,1284,769,231
08/07/2016,TK70,Istanbul / Ataturk (ISL/LTBA),Hong Kong / Hong Kong International (HKG/VHHH),02:00:00,17:20:00,10:20:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),TCJJR,,1,1,2,,1284,1135,769,2023
28/06/2016,AY5022,Melbourne / Tullamarine (MEL/YMML),Hong Kong / Hong Kong International (HKG/VHHH),10:20:00,18:00:00,09:40:00,Qantas Airways (QF/QFA),Airbus A330-300 (A333),,,1,1,2,,1795,1135,631,31
29/06/2016,AY70,Hong Kong / Hong Kong International (HKG/VHHH),Helsinki / Vantaa (HEL/EFHK),00:25:00,06:00:00,10:35:00,Finnair (AY/FIN),Airbus A350-900 (A359),OHLWA,,3,1,2,,1135,1110,304,2110
29/06/2016,AY111,Helsinki / Vantaa (HEL/EFHK),Tallinn / Ulemiste (TLL/EETN),07:30:00,08:00:00,00:30:00,Finnair (AY/FIN),ATR 72-500 (AT75),OHATG,,1,1,2,,1110,2956,304,154
19/07/2016,BL679,Hong Kong / Hong Kong International (HKG/VHHH),Hanoi / Noibai (HAN/VVNB),13:25:00,14:25:00,02:00:00,Pacific Airlines (BL/PIC),Airbus A320 (A320),VNA564,,3,1,1,,1135,1094,610,27
30/07/2016,TK168,Hanoi / Noibai (HAN/VVNB),Istanbul / Ataturk (ISL/LTBA),21:25:00,04:05:00,10:40:00,Turkish Airlines (TK/THY),Airbus A330-300 (A333),TCJOD,,3,1,2,,1094,1284,769,31
31/07/2016,TK1421,Istanbul / Ataturk (ISL/LTBA),Tallinn / Ulemiste (TLL/EETN),14:25:00,17:35:00,03:10:00,Turkish Airlines (TK/THY),Boeing 737-700 (B737),TCJKO,,3,1,2,,1284,2956,769,230
15/08/2016,SK749,Tallinn / Ulemiste (TLL/EETN),Stockholm / Arlanda (ARN/ESSA),10:15:00,10:30:00,01:15:00,Scandinavian Airlines (SK/SAS),ATR 72-500 (AT75),OYJZU,,1,1,2,,2956,3622,677,154
15/08/2016,SK903,Stockholm / Arlanda (ARN/ESSA),Newark / Liberty International (EWR/KEWR),12:25:00,14:55:00,08:30:00,Scandinavian Airlines (SK/SAS),Airbus A330-300 (A333),LNRKU,,2,1,2,,3622,851,677,31
15/08/2016,AA1598,Newark / Liberty International (EWR/KEWR),Charlotte / Douglas (CLT/KCLT),17:20:00,19:20:00,02:00:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N834NN,,3,1,2,,851,575,4,231
